Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,negative regulation of cell growth,2.60E-01,48,2.80E-01,47,1.40E-02,62,1.90E-01,43,2.00E-01,54,1.30E-01,51,5.80E-02,51
GOTERM_BP_5,biogenic amine metabolic process,3.90E-02,56,9.30E-02,53,8.40E-02,61,3.30E-01,43,9.70E-02,59,2.70E-01,51,1.40E-01,51
GOTERM_BP_5,central nervous system development,7.70E-01,195,7.50E-01,192,1.10E-01,245,7.60E-01,167,8.00E-01,217,8.20E-01,196,7.70E-01,188
GOTERM_BP_5,negative regulation of cytoskeleton organization,8.30E-01,24,3.00E-01,29,4.40E-01,32,7.80E-01,21,2.50E-01,33,4.80E-01,28,4.60E-01,27
GOTERM_BP_5,positive regulation of lymphocyte proliferation,9.80E-01,20,1.00E+00,17,1.00E+00,#N/A,9.90E-01,16,1.00E+00,21,7.80E-01,25,9.40E-01,21
GOTERM_BP_5,B cell activation,7.10E-01,35,6.60E-01,35,5.80E-01,42,7.80E-01,29,9.60E-01,34,9.70E-01,30,9.80E-01,27
GOTERM_BP_5,positive regulation of myeloid cell differentiation,9.80E-01,11,7.40E-01,15,1.90E-01,22,7.50E-01,13,4.90E-01,19,6.80E-01,16,8.10E-01,14
GOTERM_BP_5,primary neural tube formation,1.60E-01,20,3.50E-02,22,1.90E-01,22,1.40E-01,18,1.40E-01,22,5.10E-02,22,6.00E-02,21
GOTERM_BP_5,DNA modification,3.80E-01,18,4.70E-01,17,3.00E-01,21,3.50E-01,16,2.30E-01,21,2.80E-01,19,2.00E-01,19
GOTERM_BP_5,positive regulation of B cell activation,9.80E-01,11,1.00E+00,#N/A,8.90E-01,16,1.00E+00,#N/A,1.00E+00,10,9.30E-01,13,9.90E-01,10
GOTERM_BP_5,positive regulation of protein kinase cascade,5.30E-01,80,4.40E-01,80,4.00E-01,94,1.10E-01,77,6.00E-01,88,1.60E-01,88,4.80E-01,78
GOTERM_BP_5,chromatin assembly or disassembly,2.10E-01,66,8.50E-04,78,8.00E-04,88,8.50E-05,74,2.60E-03,84,1.10E-04,83,1.60E-01,65
GOTERM_BP_5,regulation of transmission of nerve impulse,5.00E-01,71,6.80E-01,67,6.60E-01,79,4.40E-01,62,6.90E-01,76,8.40E-01,66,8.60E-01,62
GOTERM_BP_5,tube lumen formation,1.30E-01,26,1.10E-01,26,1.40E-01,29,1.30E-01,23,1.60E-01,28,5.00E-02,28,5.00E-02,27
GOTERM_BP_5,isoprenoid metabolic process,4.10E-03,31,3.30E-02,28,4.50E-02,31,1.00E-02,27,2.40E-01,27,9.10E-02,27,1.50E-01,25
GOTERM_BP_5,positive regulation of immune effector process,9.00E-01,18,9.60E-01,16,1.00E+00,#N/A,9.50E-01,14,9.60E-01,19,9.80E-01,16,9.60E-01,16
GOTERM_BP_5,protein amino acid N-linked glycosylation,9.70E-03,30,3.30E-02,28,2.20E-02,32,1.00E-02,27,5.40E-02,30,1.20E-02,30,5.00E-02,27
GOTERM_BP_5,membrane lipid metabolic process,8.30E-02,46,2.60E-01,42,4.60E-01,46,2.80E-01,37,3.50E-01,46,2.70E-01,43,2.80E-01,41
GOTERM_BP_5,placenta development,8.40E-01,26,4.30E-01,30,6.30E-02,40,2.00E-01,29,7.90E-01,30,2.40E-01,33,4.90E-01,29
GOTERM_BP_5,T cell proliferation,9.00E-01,11,7.80E-01,12,1.00E+00,#N/A,1.00E+00,#N/A,9.30E-01,12,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of nitric oxide biosynthetic process,7.40E-02,18,2.20E-01,16,3.80E-01,17,5.70E-01,12,6.10E-01,15,4.10E-01,15,4.70E-01,14
GOTERM_BP_5,RNA catabolic process,2.40E-01,35,2.00E-01,35,2.20E-01,40,6.20E-02,34,2.10E-01,39,3.30E-02,40,7.30E-02,37
GOTERM_BP_5,establishment or maintenance of apical/basal cell polarity,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,sulfur amino acid biosynthetic process,3.80E-02,12,3.30E-02,12,1.10E-01,12,1.00E+00,#N/A,8.90E-02,12,1.20E-01,11,8.40E-02,11
GOTERM_BP_5,peptide hormone processing,1.00E+00,#N/A,2.10E-01,10,2.50E-01,11,1.00E+00,#N/A,2.10E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of bone remodeling,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,maternal placenta development,1.00E+00,#N/A,1.00E+00,#N/A,1.10E-01,12,1.10E-02,12,8.90E-02,12,1.20E-01,11,2.90E-02,12
GOTERM_BP_5,regulation of bone resorption,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of insulin receptor signaling pathway,1.00E+00,#N/A,1.00E+00,#N/A,2.50E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,2.50E-01,10,1.00E+00,#N/A
GOTERM_BP_5,sterol metabolic process,8.80E-02,56,2.70E-02,58,4.30E-02,65,4.30E-02,51,2.00E-01,59,1.30E-02,61,1.90E-02,58
GOTERM_BP_5,positive regulation of catabolic process,1.10E-01,29,4.10E-01,25,5.20E-01,28,2.20E-01,24,7.50E-01,25,1.90E-01,28,1.20E-01,28
GOTERM_BP_5,carbohydrate homeostasis,7.80E-01,22,4.10E-01,25,6.30E-01,27,4.30E-01,22,4.30E-01,28,3.80E-01,26,2.70E-01,26
GOTERM_BP_5,learning or memory,5.00E-01,54,7.80E-01,49,6.40E-01,60,5.40E-01,46,6.50E-01,58,7.00E-01,52,8.40E-01,47
GOTERM_BP_5,eye photoreceptor cell differentiation,1.00E+00,#N/A,7.10E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,8.70E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of actin filament bundle formation,1.00E+00,#N/A,1.10E-01,14,8.00E-01,11,5.00E-01,10,8.70E-01,10,4.20E-01,12,5.10E-01,11
GOTERM_BP_5,regulation of acute inflammatory response,5.70E-01,11,3.70E-01,12,1.80E-01,15,9.40E-02,13,2.70E-01,14,1.40E-01,14,1.00E+00,#N/A
GOTERM_BP_5,regulation of synaptic transmission,5.50E-01,65,7.90E-01,60,7.80E-01,71,4.80E-01,57,8.20E-01,68,9.10E-01,59,8.70E-01,57
GOTERM_BP_5,negative regulation of lymphocyte activation,8.00E-01,24,7.60E-01,24,2.00E-01,34,4.30E-01,24,7.90E-01,27,6.50E-01,26,6.20E-01,25
GOTERM_BP_5,activation of caspase activity,2.10E-01,30,2.10E-02,34,4.60E-02,37,3.50E-02,30,2.90E-01,32,4.30E-01,28,1.50E-01,30
GOTERM_BP_5,cellular amino acid derivative biosynthetic process,1.50E-02,35,6.90E-02,32,2.00E-01,34,1.00E-01,28,4.90E-02,36,1.80E-02,35,5.50E-02,32
GOTERM_BP_5,JNK cascade,7.30E-01,27,3.80E-01,30,1.90E-01,37,7.10E-02,31,2.70E-01,35,1.30E-01,34,4.40E-01,29
GOTERM_BP_5,cellular hormone metabolic process,1.70E-01,33,2.90E-01,31,1.20E-01,38,2.50E-01,28,4.60E-01,33,5.80E-01,29,3.40E-01,30
GOTERM_BP_5,embryonic epithelial tube formation,1.70E-01,25,1.40E-01,25,1.70E-01,28,1.70E-01,22,1.90E-01,27,6.70E-02,27,6.80E-02,26
GOTERM_BP_5,negative regulation of leukocyte proliferation,8.20E-01,14,8.80E-01,13,1.40E-01,22,7.00E-01,13,8.00E-01,16,7.40E-01,15,6.50E-01,15
GOTERM_BP_5,cellular response to starvation,2.80E-02,22,5.00E-02,21,3.50E-01,20,2.90E-01,16,4.90E-02,23,7.40E-01,15,2.50E-01,18
GOTERM_BP_5,positive regulation of T cell differentiation,9.80E-01,11,9.40E-01,12,3.50E-01,20,7.00E-01,13,9.40E-01,14,6.10E-01,16,6.50E-01,15
GOTERM_BP_5,vacuolar transport,7.20E-01,15,1.70E-01,19,3.50E-01,20,4.20E-01,15,2.80E-01,20,1.30E-01,20,1.50E-01,19
GOTERM_BP_5,negative regulation of mononuclear cell proliferation,8.20E-01,14,8.80E-01,13,1.40E-01,22,7.00E-01,13,8.00E-01,16,7.40E-01,15,6.50E-01,15
GOTERM_BP_5,negative regulation of lymphocyte proliferation,8.20E-01,14,8.80E-01,13,1.40E-01,22,7.00E-01,13,8.00E-01,16,7.40E-01,15,6.50E-01,15
GOTERM_BP_5,negative regulation of biosynthetic process,8.50E-01,260,9.10E-01,252,8.90E-02,329,4.70E-01,235,9.00E-01,289,7.80E-01,267,8.90E-01,249
GOTERM_BP_5,regulation of stress-activated protein kinase signaling pathway,1.20E-01,39,2.00E-01,37,1.70E-01,43,2.00E-01,33,2.30E-01,41,6.00E-02,41,2.30E-01,36
GOTERM_BP_5,phagocytosis,9.30E-01,19,7.90E-01,21,8.50E-01,24,6.10E-01,20,9.20E-01,22,8.40E-01,21,8.40E-01,20
GOTERM_BP_5,negative regulation of hydrolase activity,6.30E-01,23,2.60E-01,26,3.50E-01,29,1.90E-01,24,1.80E-01,30,7.60E-01,22,2.30E-01,26
GOTERM_BP_5,regulation of DNA recombination,7.60E-01,12,1.00E+00,#N/A,7.40E-01,14,1.00E+00,#N/A,9.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,insulin receptor signaling pathway,2.50E-01,21,7.70E-02,23,3.70E-02,27,4.30E-01,17,3.70E-01,22,1.10E-01,23,3.00E-01,20
GOTERM_BP_5,positive regulation of cell migration,7.80E-01,40,9.40E-02,49,5.80E-01,49,3.80E-01,39,8.80E-01,43,5.10E-01,44,9.00E-01,36
GOTERM_BP_5,porphyrin biosynthetic process,3.40E-02,15,9.10E-03,16,1.70E-02,17,2.60E-01,11,2.70E-03,18,3.40E-03,17,3.40E-04,18
GOTERM_BP_5,negative regulation of cytokine biosynthetic process,1.00E+00,#N/A,1.00E+00,#N/A,5.70E-01,12,2.60E-01,11,1.00E+00,#N/A,6.80E-01,10,1.00E+00,#N/A
GOTERM_BP_5,establishment of cell polarity,4.90E-01,11,7.40E-02,14,1.70E-02,17,6.30E-02,13,9.20E-02,15,2.00E-01,13,2.70E-01,12
GOTERM_BP_5,virus-host interaction,1.00E+00,#N/A,4.60E-01,11,3.90E-01,13,1.00E+00,#N/A,5.10E-01,12,2.00E-01,13,4.30E-01,11
GOTERM_BP_5,regulation of RNA splicing,4.90E-01,11,6.40E-01,10,7.30E-01,11,1.00E+00,#N/A,6.80E-01,11,6.80E-01,10,4.30E-01,11
GOTERM_BP_5,tetrapyrrole biosynthetic process,3.40E-02,15,9.10E-03,16,1.70E-02,17,2.60E-01,11,2.70E-03,18,3.40E-03,17,3.40E-04,18
GOTERM_BP_5,negative regulation of cellular biosynthetic process,8.60E-01,254,9.00E-01,247,1.10E-01,321,5.10E-01,229,8.90E-01,283,8.10E-01,260,9.00E-01,243
GOTERM_BP_5,tissue homeostasis,9.70E-01,24,8.90E-01,26,1.00E+00,#N/A,6.10E-01,26,8.80E-01,30,8.80E-01,27,9.40E-01,24
GOTERM_BP_5,negative regulation of sequestering of calcium ion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,nucleobase biosynthetic process,6.10E-02,11,1.00E+00,#N/A,1.60E-01,11,6.40E-02,10,2.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,pigment granule localization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,cytoplasmic sequestering of protein,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of endothelial cell migration,1.60E-01,10,1.00E+00,#N/A,1.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of transcription factor import into nucleus,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of sequestering of calcium ion,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,glycosaminoglycan catabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,2.80E-01,10,1.00E+00,#N/A,1.30E-01,10
GOTERM_BP_5,purine base metabolic process,6.10E-02,11,1.00E+00,#N/A,3.20E-01,10,1.00E+00,#N/A,2.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,release of sequestered calcium ion into cytosol,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of ion transport,4.00E-02,27,6.10E-02,26,2.10E-01,27,1.00E-02,26,8.80E-02,28,3.30E-01,23,2.50E-02,27
GOTERM_BP_5,regulation of microtubule cytoskeleton organization,6.60E-01,20,6.20E-01,20,3.10E-01,26,4.40E-01,19,3.40E-01,25,4.50E-01,22,4.60E-01,21
GOTERM_BP_5,regulation of protein stability,4.20E-01,22,1.50E-02,28,3.90E-02,30,3.20E-01,20,4.80E-02,29,2.30E-01,24,4.90E-02,26
GOTERM_BP_5,neural tube development,6.10E-02,40,7.40E-02,39,8.90E-02,44,1.70E-01,33,1.30E-01,42,2.70E-02,42,3.40E-02,40
GOTERM_BP_5,negative regulation of inflammatory response,7.80E-01,14,9.20E-01,12,6.90E-01,17,3.70E-01,15,8.50E-01,15,4.10E-01,17,7.20E-01,14
GOTERM_BP_5,hexose biosynthetic process,6.00E-04,25,1.60E-03,24,7.10E-03,25,2.10E-03,22,1.20E-02,24,1.90E-04,26,1.10E-02,22
GOTERM_BP_5,apoptotic mitochondrial changes,8.70E-01,13,2.20E-01,18,1.70E-01,21,6.50E-01,13,4.80E-01,18,6.90E-01,15,7.20E-01,14
GOTERM_BP_5,Wnt receptor signaling pathway,1.20E-01,71,2.60E-01,67,1.10E-01,81,6.00E-01,54,3.40E-01,74,3.10E-01,68,5.10E-01,62
GOTERM_BP_5,inorganic anion transport,9.90E-01,34,9.20E-01,38,4.30E-01,53,9.10E-01,33,9.10E-01,44,6.70E-01,44,9.30E-01,37
GOTERM_BP_5,hormone-mediated signaling,7.20E-01,24,4.60E-01,26,1.20E-01,34,2.50E-01,25,2.80E-01,31,4.30E-01,27,5.20E-01,25
GOTERM_BP_5,second-messenger-mediated signaling,7.70E-01,107,7.70E-01,105,5.20E-01,129,2.50E-01,102,5.80E-01,124,9.60E-01,101,6.90E-01,105
GOTERM_BP_5,negative regulation of defense response,6.90E-01,17,7.70E-01,16,6.40E-01,20,3.80E-01,17,6.90E-01,19,2.30E-01,21,7.40E-01,16
GOTERM_BP_5,cellular component assembly involved in morphogenesis,1.00E+00,#N/A,9.20E-01,14,1.00E+00,#N/A,1.00E+00,#N/A,4.30E-01,21,9.70E-01,13,1.00E+00,10
GOTERM_BP_5,positive regulation of hormone secretion,2.00E-01,21,1.00E-01,22,1.70E-01,24,5.00E-02,21,3.10E-01,22,2.30E-01,21,3.60E-01,19
GOTERM_BP_5,regulation of steroid metabolic process,3.10E-01,20,6.60E-01,17,1.70E-01,24,3.80E-01,17,9.30E-01,16,2.30E-01,21,4.90E-01,18
GOTERM_BP_5,negative regulation of leukocyte activation,8.80E-01,24,8.50E-01,24,3.50E-01,34,5.70E-01,24,8.90E-01,27,7.70E-01,26,7.50E-01,25
GOTERM_BP_5,cardiac muscle tissue development,9.90E-01,19,7.00E-01,26,8.90E-01,28,6.70E-01,23,1.20E-01,36,3.80E-01,30,8.30E-01,24
GOTERM_BP_5,carboxylic acid transport,5.60E-01,70,5.50E-01,69,6.60E-01,79,4.40E-01,62,5.70E-01,78,5.60E-01,71,4.70E-01,69
GOTERM_BP_5,regulation of monooxygenase activity,5.50E-01,13,8.90E-01,10,8.00E-01,13,1.00E+00,#N/A,7.50E-01,13,9.20E-01,10,7.80E-01,11
GOTERM_BP_5,regulation of endothelial cell migration,7.00E-02,17,5.10E-01,13,1.20E-01,18,1.00E+00,#N/A,8.60E-01,12,5.70E-01,13,3.30E-01,14
GOTERM_BP_5,regulation of alpha-beta T cell differentiation,8.20E-01,11,8.00E-01,11,2.20E-01,17,6.00E-01,11,8.60E-01,12,5.70E-01,13,4.80E-01,13
GOTERM_BP_5,positive regulation of proteolysis,1.40E-01,16,1.20E-01,16,2.20E-01,17,1.70E-01,14,4.00E-02,19,3.40E-02,18,2.00E-02,18
GOTERM_BP_5,positive regulation of axonogenesis,2.50E-01,15,2.20E-01,15,7.30E-03,21,1.70E-01,14,3.00E-01,16,1.60E-01,16,2.00E-01,15
GOTERM_BP_5,regulation of skeletal muscle fiber development,1.40E-01,16,5.10E-01,13,6.70E-01,14,6.00E-01,11,6.10E-01,14,7.20E-01,12,4.80E-01,13
GOTERM_BP_5,lysosomal transport,8.20E-01,11,2.20E-01,15,2.20E-01,17,2.90E-01,13,3.00E-01,16,4.20E-01,14,2.00E-01,15
GOTERM_BP_5,ribonucleotide catabolic process,3.90E-01,14,5.10E-01,13,3.60E-01,16,4.40E-01,12,6.10E-01,14,4.20E-01,14,3.30E-01,14
GOTERM_BP_5,cell morphogenesis involved in differentiation,5.90E-01,115,5.90E-01,113,1.60E-01,142,5.30E-01,100,8.20E-01,123,6.20E-01,116,4.90E-01,113
GOTERM_BP_5,positive regulation of protein transport,7.00E-01,31,9.80E-01,24,1.00E+00,#N/A,8.80E-01,24,9.80E-01,28,9.50E-01,27,9.80E-01,24
GOTERM_BP_5,maintenance of protein location in cell,9.70E-01,15,9.20E-01,16,8.10E-01,21,9.80E-01,12,7.50E-01,21,9.90E-01,14,1.00E+00,12
GOTERM_BP_5,gonad development,1.90E-01,59,6.10E-01,52,6.10E-01,61,2.80E-01,50,7.50E-01,57,7.30E-01,52,9.80E-01,42
GOTERM_BP_5,regulation of lipid metabolic process,1.90E-01,59,2.00E-01,58,5.10E-02,71,5.70E-01,46,7.50E-01,57,9.70E-02,62,4.70E-01,53
GOTERM_BP_5,mRNA transport,6.40E-01,41,4.00E-01,43,2.30E-02,58,1.80E-01,41,5.00E-02,55,4.60E-02,51,1.50E-01,46
GOTERM_BP_5,regulation of lipase activity,2.30E-01,46,8.00E-01,38,5.70E-01,48,7.30E-01,34,5.30E-01,47,6.00E-01,42,5.20E-01,41
GOTERM_BP_5,pallium development,8.00E-02,28,3.70E-01,24,9.20E-02,31,7.40E-01,18,2.50E-01,28,5.60E-01,23,6.70E-01,21
GOTERM_BP_5,amino acid activation,1.30E-01,27,1.70E-02,30,1.20E-02,34,7.50E-02,25,2.70E-03,35,5.30E-02,29,5.80E-03,31
GOTERM_BP_5,tRNA aminoacylation for protein translation,1.30E-01,27,1.70E-02,30,1.20E-02,34,7.50E-02,25,2.70E-03,35,5.30E-02,29,5.80E-03,31
GOTERM_BP_5,neuron apoptosis,1.20E-01,13,3.80E-01,11,3.00E-01,13,3.50E-01,10,4.10E-01,12,1.40E-01,13,9.60E-02,13
GOTERM_BP_5,aromatic amino acid family metabolic process,2.40E-01,12,4.50E-02,14,7.10E-02,15,9.80E-02,12,1.30E-01,14,5.90E-02,14,9.60E-02,13
GOTERM_BP_5,actin polymerization or depolymerization,1.00E+00,#N/A,5.60E-01,10,4.70E-01,12,1.00E+00,#N/A,4.10E-01,12,5.90E-02,14,5.30E-01,10
GOTERM_BP_5,cellular amino acid derivative catabolic process,1.80E-02,15,1.50E-02,15,6.70E-03,17,4.00E-02,13,4.50E-03,17,2.10E-02,15,6.40E-04,17
GOTERM_BP_5,regulation of stress fiber formation,1.00E+00,#N/A,1.10E-01,13,8.00E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,4.30E-01,11,5.30E-01,10
GOTERM_BP_5,tube closure,1.10E-01,19,2.00E-02,21,2.10E-01,20,1.10E-01,17,1.60E-01,20,6.50E-02,20,8.10E-02,19
GOTERM_BP_5,positive regulation of inflammatory response,9.10E-01,12,5.60E-01,15,6.10E-02,22,1.10E-01,17,1.60E-01,20,1.30E-01,19,2.50E-01,17
GOTERM_BP_5,neural tube closure,1.10E-01,19,2.00E-02,21,2.10E-01,20,1.10E-01,17,1.60E-01,20,6.50E-02,20,8.10E-02,19
GOTERM_BP_5,small GTPase mediated signal transduction,1.20E-01,156,6.70E-02,156,2.00E-02,185,2.20E-01,132,1.30E-01,172,4.40E-01,149,9.40E-02,152
GOTERM_BP_5,cell morphogenesis involved in neuron differentiation,1.70E-01,107,2.20E-01,104,6.60E-02,126,3.50E-01,89,5.40E-01,111,4.20E-01,103,2.80E-01,101
GOTERM_BP_5,negative regulation of DNA binding,5.70E-01,25,4.10E-01,26,3.10E-01,31,2.10E-01,25,5.50E-01,28,3.80E-01,27,5.80E-01,24
GOTERM_BP_5,unsaturated fatty acid metabolic process,2.50E-01,28,1.40E-01,29,4.20E-01,30,2.70E-02,29,3.10E-02,35,1.30E-01,30,4.70E-01,25
GOTERM_BP_5,positive regulation of leukocyte proliferation,9.80E-01,20,1.00E+00,17,1.00E+00,#N/A,9.90E-01,16,1.00E+00,21,8.10E-01,25,9.50E-01,21
GOTERM_BP_5,positive regulation of mononuclear cell proliferation,9.80E-01,20,1.00E+00,17,1.00E+00,#N/A,9.90E-01,16,1.00E+00,21,8.10E-01,25,9.50E-01,21
GOTERM_BP_5,regulation of leukocyte mediated immunity,9.80E-01,22,1.00E+00,17,1.00E+00,#N/A,9.90E-01,17,1.00E+00,21,1.00E+00,18,1.00E+00,16
GOTERM_BP_5,B cell proliferation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,microtubule polymerization or depolymerization,1.00E+00,#N/A,8.50E-02,10,1.00E+00,#N/A,3.50E-02,10,1.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of coagulation,9.50E-02,10,1.00E+00,#N/A,8.60E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E-01,10,7.60E-02,10
GOTERM_BP_5,mitotic chromosome condensation,1.00E+00,#N/A,2.60E-02,11,8.60E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E-01,10,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of oxidoreductase activity,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,dsRNA fragmentation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,decidualization,1.00E+00,#N/A,1.00E+00,#N/A,2.20E-01,10,3.50E-02,10,1.80E-01,10,1.00E+00,#N/A,7.60E-02,10
GOTERM_BP_5,T cell activation during immune response,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,carboxylic acid biosynthetic process,1.10E-02,89,4.40E-04,94,3.50E-02,97,2.90E-02,76,1.90E-02,96,9.10E-04,95,5.70E-02,82
GOTERM_BP_5,regulation of immune effector process,9.70E-01,40,9.80E-01,38,1.00E+00,#N/A,9.60E-01,34,9.90E-01,42,1.00E+00,37,1.00E+00,33
GOTERM_BP_5,positive regulation of lymphocyte differentiation,9.90E-01,11,9.80E-01,12,4.40E-01,21,7.20E-01,14,9.80E-01,14,7.80E-01,16,6.90E-01,16
GOTERM_BP_5,sterol biosynthetic process,2.10E-02,24,1.70E-02,24,3.00E-02,26,3.50E-02,21,7.50E-03,27,1.10E-02,25,1.40E-04,28
GOTERM_BP_5,gland development,7.20E-01,62,8.10E-01,59,7.60E-01,71,7.80E-01,52,9.30E-01,64,9.90E-01,53,8.60E-01,57
GOTERM_BP_5,negative regulation of protein transport,8.60E-01,17,8.30E-01,17,8.50E-01,20,1.00E+00,#N/A,8.70E-01,19,9.30E-01,16,8.80E-01,16
GOTERM_BP_5,brain development,1.40E-01,147,4.40E-01,137,5.70E-02,172,4.90E-01,119,6.40E-01,151,5.90E-01,138,4.70E-01,134
GOTERM_BP_5,aspartate family amino acid metabolic process,4.40E-02,17,1.70E-01,15,2.80E-01,16,2.30E-01,13,2.30E-01,16,3.40E-01,14,1.50E-01,15
GOTERM_BP_5,synaptic transmission,8.10E-01,135,7.90E-01,133,8.20E-01,156,8.20E-01,115,7.80E-01,152,9.80E-01,126,8.40E-01,129
GOTERM_BP_5,nucleoside monophosphate biosynthetic process,4.80E-02,31,2.60E-01,27,6.50E-02,34,6.80E-02,27,1.90E-01,31,2.40E-01,28,1.50E-01,28
GOTERM_BP_5,regulation of secretion,9.60E-01,85,9.50E-01,84,1.00E+00,#N/A,7.40E-01,79,9.60E-01,96,9.90E-01,83,9.90E-01,78
GOTERM_BP_5,branching morphogenesis of a tube,5.20E-01,32,6.60E-01,30,5.90E-01,36,7.70E-01,25,7.60E-01,33,9.20E-01,27,7.80E-01,28
GOTERM_BP_5,"DNA damage response, signal transduction",7.00E-01,37,5.60E-01,38,5.80E-02,52,5.90E-01,33,8.50E-01,39,9.00E-01,34,9.70E-01,30
GOTERM_BP_5,"complement activation, classical pathway",7.90E-01,13,1.30E-01,18,1.60E-01,20,5.40E-01,13,2.10E-01,19,4.30E-02,20,6.10E-01,14
GOTERM_BP_5,regulation of epithelial cell differentiation,9.40E-01,11,1.00E+00,#N/A,6.90E-01,16,6.80E-01,12,9.60E-01,12,8.10E-01,13,6.10E-01,14
GOTERM_BP_5,regulation of myeloid cell differentiation,1.00E+00,22,9.90E-01,25,6.50E-01,38,9.30E-01,24,7.20E-01,36,7.70E-01,32,9.60E-01,26
GOTERM_BP_5,gastrulation,2.80E-01,37,4.00E-01,35,2.10E-01,43,3.90E-01,31,2.00E-01,42,7.60E-02,41,4.50E-01,34
GOTERM_BP_5,positive regulation of DNA binding,4.60E-01,35,2.30E-01,37,2.10E-02,48,2.30E-01,33,2.70E-01,41,4.70E-02,42,3.50E-01,35
GOTERM_BP_5,sphingolipid metabolic process,1.70E-01,41,3.50E-01,38,4.40E-01,43,4.90E-01,32,3.30E-01,43,3.60E-01,39,3.80E-01,37
GOTERM_BP_5,cell maturation,8.70E-01,32,8.40E-01,32,2.00E-01,46,9.20E-01,26,6.80E-01,39,8.50E-01,33,9.40E-01,29
GOTERM_BP_5,negative regulation of macromolecule biosynthetic process,9.30E-01,243,9.30E-01,239,9.70E-02,314,5.20E-01,223,8.70E-01,277,8.20E-01,253,9.10E-01,236
GOTERM_BP_5,ncRNA processing,1.30E-02,105,2.90E-01,92,4.10E-02,115,5.70E-02,88,3.30E-04,123,1.40E-02,106,5.40E-04,109
