Category,Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,DNA modification,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cerebral cortex development,1,#N/A,1,#N/A,0.21,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,post-Golgi vesicle-mediated transport,0.17,14,0.21,13,0.064,18,0.11,13,0.11,16,0.03,17,0.16,13
GOTERM_BP_5,nucleoside triphosphate biosynthetic process,0.081,24,0.37,19,0.5,22,0.078,21,0.26,23,0.14,23,0.28,19
GOTERM_BP_5,blood coagulation,0.97,12,0.68,16,0.31,24,0.37,17,0.88,16,0.58,18,0.8,14
GOTERM_BP_5,anion transport,0.54,25,0.44,25,0.17,35,0.74,19,0.43,29,0.24,29,0.51,23
GOTERM_BP_5,mitochondrial transport,0.26,15,0.13,16,0.089,20,0.17,14,0.13,18,0.068,18,0.36,13
GOTERM_BP_5,protein catabolic process,0.016,126,0.0087,123,0.014,149,0.035,105,0.046,134,0.086,120,0.047,111
GOTERM_BP_5,regulation of kinase activity,0.069,72,0.021,73,0.13,82,0.18,58,0.21,74,0.05,74,0.18,62
GOTERM_BP_5,negative regulation of cell proliferation,0.77,57,0.52,59,0.37,77,0.24,57,0.39,71,0.55,62,0.35,59
GOTERM_BP_5,negative regulation of Wnt receptor signaling pathway,0.053,10,1,#N/A,0.14,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of cell morphogenesis involved in differentiation,0.31,16,0.1,18,0.13,21,0.039,18,0.072,21,0.23,17,0.28,15
GOTERM_BP_5,negative regulation of hydrolase activity,1,#N/A,0.23,11,0.66,10,0.23,10,0.28,12,1,#N/A,1,#N/A
GOTERM_BP_5,cellular hormone metabolic process,0.18,14,0.14,14,0.3,15,0.32,11,0.42,13,0.42,12,0.28,12
GOTERM_BP_5,regulation of neuron projection development,0.28,15,0.14,16,0.16,19,0.063,16,0.091,19,0.3,15,0.38,13
GOTERM_BP_5,integrin-mediated signaling pathway,0.85,10,0.58,12,0.57,15,0.67,10,0.68,13,0.54,13,0.38,13
GOTERM_BP_5,purine nucleoside triphosphate metabolic process,0.077,28,0.5,21,0.42,27,0.089,24,0.19,28,0.13,27,0.23,23
GOTERM_BP_5,peptide secretion,0.14,11,0.2,10,0.056,14,0.12,10,0.23,11,0.036,13,1,#N/A
GOTERM_BP_5,mRNA metabolic process,0.033,77,0.074,71,0.064,88,0.17,60,0.021,86,0.073,75,0.053,69
GOTERM_BP_5,protein heterooligomerization,0.25,12,0.32,11,0.36,13,0.19,11,0.26,13,0.26,12,0.26,11
GOTERM_BP_5,fatty acid metabolic process,0.27,38,0.003,48,0.13,48,0.007,42,0.063,47,0.051,44,0.051,40
GOTERM_BP_5,positive regulation of transferase activity,0.23,46,0.11,47,0.26,54,0.25,39,0.27,50,0.07,51,0.42,39
GOTERM_BP_5,steroid metabolic process,0.15,41,0.062,42,0.16,48,0.038,39,0.059,48,0.17,41,0.03,42
GOTERM_BP_5,regulation of actin cytoskeleton organization,0.65,15,0.58,15,0.89,15,0.5,14,0.61,17,0.56,16,0.49,15
GOTERM_BP_5,negative regulation of cell communication,0.093,51,0.091,49,0.35,54,0.045,46,0.25,52,0.23,48,0.15,45
GOTERM_BP_5,hormone secretion,0.22,11,0.29,10,0.11,14,0.18,10,0.33,11,0.069,13,1,#N/A
GOTERM_BP_5,spindle organization,0.34,10,0.095,12,0.11,14,0.18,10,0.21,12,1,#N/A,1,#N/A
GOTERM_BP_5,cellular protein catabolic process,0.013,123,0.0078,120,0.017,144,0.036,102,0.031,132,0.096,116,0.045,108
GOTERM_BP_5,negative regulation of ligase activity,0.087,17,0.062,17,0.12,19,0.01,18,0.17,17,0.16,16,0.13,15
GOTERM_BP_5,B cell mediated immunity,1,#N/A,0.28,12,0.46,13,0.26,11,0.35,13,0.15,14,1,#N/A
GOTERM_BP_5,inorganic anion transport,0.81,14,0.65,15,0.17,24,0.78,12,0.58,18,0.31,19,0.67,14
GOTERM_BP_5,positive regulation of smooth muscle cell proliferation,1,#N/A,1,#N/A,0.16,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of chemotaxis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,RNA splicing,0.023,62,0.099,55,0.038,71,0.23,46,0.0071,71,0.099,58,0.063,54
GOTERM_BP_5,heart development,0.75,34,0.57,35,0.49,45,0.48,32,0.34,44,0.36,40,0.43,35
GOTERM_BP_5,negative regulation of T cell activation,1,#N/A,0.22,10,0.13,13,1,#N/A,0.38,10,0.28,10,0.18,10
GOTERM_BP_5,ER to Golgi vesicle-mediated transport,0.16,11,1,#N/A,0.34,11,1,#N/A,1,#N/A,0.28,10,1,#N/A
GOTERM_BP_5,positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle,0.097,17,0.037,18,0.13,19,0.012,18,0.12,18,0.11,17,0.14,15
GOTERM_BP_5,sterol biosynthetic process,0.12,10,1,#N/A,0.27,10,1,#N/A,0.1,11,0.13,10,0.032,11
GOTERM_BP_5,regulation of lymphocyte proliferation,0.76,13,0.93,10,0.41,19,0.64,12,0.93,12,0.34,17,0.12,18
GOTERM_BP_5,positive regulation of cell motion,0.29,20,0.035,24,0.12,26,0.032,22,0.2,23,0.1,23,0.75,14
GOTERM_BP_5,positive regulation of cell cycle,0.36,12,0.58,10,0.36,14,1,#N/A,1,#N/A,0.051,16,0.24,12
GOTERM_BP_5,pallium development,1,#N/A,1,#N/A,0.32,12,1,#N/A,0.5,10,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of lipase activity,0.2,19,0.32,17,0.3,21,0.58,13,0.26,20,0.41,17,0.34,16
GOTERM_BP_5,negative regulation of lipid metabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of actin filament polymerization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of DNA replication,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of DNA replication,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,glutathione metabolic process,0.035,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of striated muscle tissue development,0.033,15,0.048,14,0.12,15,0.16,11,0.21,13,0.22,12,0.068,13
GOTERM_BP_5,negative regulation of DNA metabolic process,1,#N/A,1,#N/A,0.39,10,1,#N/A,0.3,10,1,#N/A,1,#N/A
GOTERM_BP_5,Wnt receptor signaling pathway,0.39,25,0.22,26,0.16,33,0.71,18,0.27,29,0.13,29,0.29,24
GOTERM_BP_5,regulation of actin filament polymerization,1,#N/A,1,#N/A,1,#N/A,0.35,10,0.7,10,1,#N/A,0.44,10
GOTERM_BP_5,negative regulation of lymphocyte activation,1,#N/A,0.36,11,0.29,14,0.35,10,0.7,10,0.44,11,0.19,12
GOTERM_BP_5,regulation of leukocyte proliferation,0.78,13,0.94,10,0.43,19,0.66,12,0.93,12,0.35,17,0.13,18
GOTERM_BP_5,regulation of mononuclear cell proliferation,0.78,13,0.94,10,0.43,19,0.66,12,0.93,12,0.35,17,0.13,18
GOTERM_BP_5,ribonucleoprotein complex assembly,0.034,19,0.13,16,0.052,21,0.26,13,0.081,19,0.038,19,0.24,14
GOTERM_BP_5,"nucleobase, nucleoside, nucleotide and nucleic acid catabolic process",0.027,17,0.13,14,0.11,17,0.059,14,0.063,17,0.014,18,0.011,17
GOTERM_BP_5,"nucleobase, nucleoside and nucleotide catabolic process",0.027,17,0.13,14,0.11,17,0.059,14,0.063,17,0.014,18,0.011,17
GOTERM_BP_5,positive regulation of ligase activity,0.096,18,0.037,19,0.14,20,0.012,19,0.13,19,0.11,18,0.14,16
GOTERM_BP_5,response to monosaccharide stimulus,1,#N/A,1,#N/A,0.49,11,1,#N/A,0.25,12,0.41,10,1,#N/A
GOTERM_BP_5,regulation of protein kinase cascade,0.32,46,0.025,53,0.25,56,0.048,46,0.21,53,0.087,52,0.16,45
GOTERM_BP_5,gut development,1,#N/A,1,#N/A,0.094,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cellular component assembly involved in morphogenesis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,ovulation cycle process,0.35,13,0.19,14,0.26,16,0.048,15,0.17,16,0.25,14,0.34,12
GOTERM_BP_5,exocytosis,0.67,19,0.38,21,0.47,25,0.57,17,0.4,24,0.6,20,0.49,19
GOTERM_BP_5,negative regulation of protein modification process,0.14,26,0.058,27,0.11,31,0.026,26,0.16,28,0.29,24,0.26,22
GOTERM_BP_5,cellular amino acid biosynthetic process,0.14,13,0.055,14,0.22,14,0.18,11,0.23,13,0.15,13,0.078,13
GOTERM_BP_5,regulation of GTPase activity,0.12,27,0.17,25,0.1,32,0.58,18,0.54,24,0.35,24,0.17,24
GOTERM_BP_5,cellular carbohydrate catabolic process,0.46,16,0.39,16,0.56,18,0.43,14,0.64,16,0.49,16,0.66,13
GOTERM_BP_5,regulation of skeletal muscle tissue development,0.043,10,1,#N/A,0.11,10,1,#N/A,0.077,10,1,#N/A,1,#N/A
GOTERM_BP_5,lymphocyte mediated immunity,1,#N/A,0.33,14,0.57,15,0.28,13,0.32,16,0.3,15,0.76,10
GOTERM_BP_5,gastrulation,0.52,13,0.58,12,0.16,19,0.28,13,0.15,18,0.13,17,0.38,13
GOTERM_BP_5,development of primary sexual characteristics,0.22,26,0.57,21,0.42,28,0.25,22,0.34,27,0.6,22,0.67,19
GOTERM_BP_5,gonad development,0.12,25,0.43,20,0.51,24,0.23,20,0.34,24,0.45,21,0.65,17
GOTERM_BP_5,cartilage development,0.82,11,1,#N/A,0.15,20,0.48,12,0.41,16,0.62,13,1,#N/A
GOTERM_BP_5,negative regulation of transport,0.89,19,0.6,22,0.56,28,0.55,20,0.72,24,0.54,24,0.68,20
GOTERM_BP_5,axonogenesis,0.41,35,0.24,36,0.32,43,0.32,31,0.26,41,0.37,36,0.15,36
GOTERM_BP_5,positive regulation of myeloid cell differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of calcium ion transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of cell motion,0.63,11,0.7,10,0.52,14,1,#N/A,0.52,13,1,#N/A,0.5,11
GOTERM_BP_5,neuron projection morphogenesis,0.52,37,0.32,38,0.46,45,0.54,31,0.45,42,0.55,37,0.34,36
GOTERM_BP_5,biomineral formation,1,#N/A,1,#N/A,0.33,10,1,#N/A,0.24,10,1,#N/A,1,#N/A
GOTERM_BP_5,amino acid transport,0.56,16,0.37,17,0.56,19,0.63,13,0.63,17,0.26,19,0.63,14
GOTERM_BP_5,regulation of epithelial cell proliferation,0.13,17,0.24,15,0.26,18,0.12,15,0.16,18,0.14,17,0.28,14
GOTERM_BP_5,neuron projection development,0.53,44,0.22,47,0.39,55,0.47,38,0.39,51,0.43,46,0.32,43
GOTERM_BP_5,regulation of myeloid leukocyte differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,vasculogenesis,0.24,10,1,#N/A,0.31,11,1,#N/A,0.36,10,1,#N/A,0.16,10
GOTERM_BP_5,regulation of establishment of protein localization,0.83,18,0.48,21,0.49,26,0.55,18,0.83,20,0.5,22,0.58,19
GOTERM_BP_5,cell projection morphogenesis,0.54,42,0.28,44,0.5,51,0.5,36,0.38,49,0.44,44,0.22,43
GOTERM_BP_5,hexose transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of bone mineralization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of neuron differentiation,0.3,26,0.22,26,0.28,31,0.081,26,0.27,29,0.41,25,0.37,23
GOTERM_BP_5,female gonad development,0.27,14,0.22,14,0.31,16,0.061,15,0.2,16,0.29,14,0.52,11
GOTERM_BP_5,neuron development,0.41,60,0.11,64,0.29,74,0.34,52,0.28,69,0.2,65,0.18,59
GOTERM_BP_5,regulation of protein transport,0.82,17,0.47,20,0.54,24,0.55,17,0.88,18,0.58,20,0.58,18
GOTERM_BP_5,muscle organ development,1,23,0.67,33,0.89,37,0.6,30,0.42,42,0.84,32,0.97,24
GOTERM_BP_5,regulation of blood vessel size,0.4,11,0.34,11,0.38,13,0.33,10,0.18,14,0.29,12,0.28,11
GOTERM_BP_5,positive regulation of transport,0.49,39,0.24,41,0.53,46,0.091,40,0.51,43,0.39,41,0.31,38
GOTERM_BP_5,cardiac muscle tissue development,1,#N/A,0.43,11,0.84,10,1,#N/A,0.26,14,0.65,10,1,#N/A
GOTERM_BP_5,negative regulation of cell migration,1,#N/A,1,#N/A,0.49,13,1,#N/A,0.51,12,1,#N/A,0.51,10
GOTERM_BP_5,negative regulation of leukocyte activation,1,#N/A,0.43,11,0.36,14,0.42,10,0.76,10,0.51,11,0.24,12
GOTERM_BP_5,mRNA processing,0.078,65,0.11,61,0.11,75,0.3,50,0.038,74,0.19,62,0.15,57
GOTERM_BP_5,organ morphogenesis,0.95,82,0.59,90,0.52,115,0.56,80,0.46,108,0.34,101,0.87,78
GOTERM_BP_5,negative regulation of cell activation,0.72,10,0.39,12,0.35,15,0.36,11,0.73,11,0.47,12,0.21,13
GOTERM_BP_5,regulation of endocytosis,1,#N/A,0.52,11,0.47,14,0.24,12,0.61,12,0.34,13,1,#N/A
GOTERM_BP_5,positive regulation of cell growth,1,#N/A,0.22,10,0.48,10,1,#N/A,0.38,10,0.28,10,1,#N/A
GOTERM_BP_5,positive regulation of ion transport,1,#N/A,0.22,10,1,#N/A,1,#N/A,0.38,10,1,#N/A,0.18,10
GOTERM_BP_5,complement activation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.38,10,0.089,12,1,#N/A
GOTERM_BP_5,negative regulation of cell differentiation,0.69,35,0.43,37,0.2,50,0.12,38,0.56,41,0.51,38,0.19,39
GOTERM_BP_5,RNA catabolic process,0.41,13,0.61,11,0.44,15,0.31,12,0.44,14,0.31,14,0.4,12
GOTERM_BP_5,biopolymer methylation,0.5,13,0.56,12,0.31,17,0.66,10,0.3,16,0.52,13,0.48,12
GOTERM_BP_5,positive regulation of phosphate metabolic process,0.32,20,0.44,18,0.56,21,0.24,18,0.61,19,0.34,20,0.35,18
GOTERM_BP_5,positive regulation of phosphorus metabolic process,0.32,20,0.44,18,0.56,21,0.24,18,0.61,19,0.34,20,0.35,18
GOTERM_BP_5,regulation of cell development,0.22,40,0.19,39,0.19,48,0.13,36,0.28,43,0.45,37,0.39,34
GOTERM_BP_5,regulation of protein modification process,0.14,58,0.039,60,0.24,66,0.026,55,0.21,62,0.16,58,0.33,49
GOTERM_BP_5,negative regulation of response to external stimulus,0.21,12,0.41,10,0.43,12,0.16,11,0.33,12,0.13,13,1,#N/A
GOTERM_BP_5,monosaccharide transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,icosanoid biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,sphingolipid biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,acetyl-CoA metabolic process,1,#N/A,1,#N/A,0.16,10,1,#N/A,0.11,10,1,#N/A,1,#N/A
GOTERM_BP_5,odontogenesis,0.57,10,0.24,12,0.29,14,0.13,12,0.3,13,0.44,11,0.3,11
GOTERM_BP_5,negative regulation of cell cycle,0.13,19,0.14,18,0.37,19,1,#N/A,0.25,19,0.3,17,0.35,15
GOTERM_BP_5,regulation of lipid metabolic process,0.72,18,0.43,20,0.32,26,0.82,14,0.63,21,0.26,23,0.65,17
GOTERM_BP_5,positive regulation of cell differentiation,0.86,34,0.87,32,0.24,52,0.21,38,0.71,41,0.6,39,0.31,39
GOTERM_BP_5,steroid biosynthetic process,0.26,18,0.39,16,0.56,18,0.22,16,0.16,21,0.49,16,0.14,18
GOTERM_BP_5,morphogenesis of embryonic epithelium,0.26,13,0.6,10,0.39,14,0.44,10,0.66,11,0.28,13,0.53,10
GOTERM_BP_5,regulation of muscle cell differentiation,1,#N/A,1,#N/A,0.25,11,1,#N/A,0.18,11,1,#N/A,0.063,11
GOTERM_BP_5,cellular respiration,0.051,24,0.2,20,0.23,24,0.085,20,0.13,24,0.14,22,0.033,23
GOTERM_BP_5,biogenic amine metabolic process,0.27,20,0.089,22,0.31,23,0.29,17,0.45,20,0.29,20,0.41,17
GOTERM_BP_5,negative regulation of cell adhesion,1,#N/A,0.24,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mitotic cell cycle checkpoint,1,#N/A,1,#N/A,0.37,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of secretion,0.47,20,0.29,21,0.54,23,0.19,20,0.48,22,0.69,18,0.21,21
GOTERM_BP_5,regulation of ubiquitin-protein ligase activity,0.15,18,0.11,18,0.22,20,0.043,18,0.28,18,0.25,17,0.29,15
GOTERM_BP_5,secretion by cell,0.66,34,0.4,36,0.38,45,0.55,30,0.58,39,0.4,38,0.72,30
GOTERM_BP_5,muscle tissue development,1,12,0.64,20,0.8,23,0.71,17,0.39,26,0.82,19,0.95,14
GOTERM_BP_5,response to UV,0.41,12,0.62,10,0.3,15,1,#N/A,0.42,13,0.42,12,1,#N/A
GOTERM_BP_5,platelet activation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,spliceosome assembly,1,#N/A,1,#N/A,0.18,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,tissue homeostasis,0.75,10,0.31,13,0.64,13,0.17,13,0.4,14,0.52,12,0.5,11
GOTERM_BP_5,stress-activated protein kinase signaling pathway,0.75,10,0.57,11,0.39,15,0.27,12,0.65,12,0.52,12,1,#N/A
GOTERM_BP_5,cell redox homeostasis,0.37,13,0.31,13,0.39,15,0.4,11,0.86,10,0.39,13,0.24,13
GOTERM_BP_5,regulation of angiogenesis,0.5,12,0.43,12,0.52,14,0.1,14,0.4,14,0.52,12,0.5,11
GOTERM_BP_5,regulation of steroid metabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,leukocyte homeostasis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,monosaccharide catabolic process,0.54,13,0.47,13,0.7,14,0.56,11,0.7,13,0.56,13,1,#N/A
GOTERM_BP_5,cell maturation,0.74,12,0.55,13,0.25,19,0.75,10,0.43,16,0.84,11,0.72,11
GOTERM_BP_5,neural tube formation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of protein transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of insulin secretion,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,tube lumen formation,1,#N/A,1,#N/A,0.54,10,1,#N/A,1,#N/A,0.33,10,1,#N/A
GOTERM_BP_5,translation,0.0075,74,0.06,65,0.094,78,0.064,58,0.028,77,0.039,70,0.011,67
GOTERM_BP_5,negative regulation of macromolecule metabolic process,0.54,124,0.47,120,0.09,164,0.068,119,0.6,136,0.36,130,0.55,112
GOTERM_BP_5,cell cycle checkpoint,0.36,18,0.61,15,0.21,23,0.41,15,0.65,17,0.8,14,0.64,14
GOTERM_BP_5,cell morphogenesis involved in neuron differentiation,0.54,36,0.35,37,0.48,44,0.5,31,0.39,42,0.5,37,0.23,37
GOTERM_BP_5,positive regulation of DNA metabolic process,0.34,12,0.55,10,0.34,14,0.26,11,0.48,12,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of cellular metabolic process,0.42,124,0.42,119,0.11,160,0.068,117,0.54,135,0.38,127,0.49,111
GOTERM_BP_5,"DNA damage response, signal transduction",0.37,16,0.3,16,0.18,21,0.24,15,0.43,17,0.5,15,1,#N/A
GOTERM_BP_5,establishment of vesicle localization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mRNA export from nucleus,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,synaptic vesicle transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,insulin receptor signaling pathway,1,#N/A,1,#N/A,0.2,11,1,#N/A,1,#N/A,0.17,10,1,#N/A
GOTERM_BP_5,regulation of vesicle-mediated transport,0.95,12,0.69,15,0.58,20,0.5,15,0.74,17,0.69,16,0.97,10
GOTERM_BP_5,maintenance of protein location in cell,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,blood vessel morphogenesis,0.42,38,0.19,40,0.44,45,0.36,33,0.42,42,0.6,36,0.32,36
GOTERM_BP_5,establishment or maintenance of cell polarity,1,#N/A,1,#N/A,0.54,11,1,#N/A,0.3,12,1,#N/A,1,#N/A
GOTERM_BP_5,ion transmembrane transport,0.19,12,0.25,11,0.68,10,0.25,10,0.44,11,1,#N/A,1,#N/A
GOTERM_BP_5,liver development,0.54,10,0.34,11,0.38,13,0.21,11,0.4,12,0.29,12,0.42,10
GOTERM_BP_5,regulation of proteolysis,1,#N/A,1,#N/A,0.65,11,1,#N/A,0.68,10,0.56,10,1,#N/A
GOTERM_BP_5,response to nutrient,0.88,20,0.58,23,0.72,27,0.33,23,0.79,24,0.7,23,0.87,18
GOTERM_BP_5,hexose catabolic process,0.63,12,0.56,12,0.77,13,0.66,10,0.77,12,0.65,12,1,#N/A
GOTERM_BP_5,development of primary female sexual characteristics,0.37,14,0.31,14,0.42,16,0.1,15,0.3,16,0.39,14,0.62,11
GOTERM_BP_5,female sex differentiation,0.37,14,0.31,14,0.42,16,0.1,15,0.3,16,0.39,14,0.62,11
GOTERM_BP_5,tissue morphogenesis,0.71,29,0.6,29,0.63,36,0.66,25,0.5,35,0.35,34,0.65,27
GOTERM_BP_5,regulation of T cell activation,0.85,17,0.71,18,0.51,25,0.49,18,0.9,18,0.34,23,0.17,23
GOTERM_BP_5,"protein import into nucleus, translocation",1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,membrane lipid biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of vasoconstriction,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,unsaturated fatty acid biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,protein targeting to mitochondrion,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,response to starvation,0.27,10,1,#N/A,0.34,11,1,#N/A,0.38,10,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of smooth muscle cell proliferation,1,#N/A,1,#N/A,0.32,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of peptide secretion,1,#N/A,1,#N/A,0.6,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of macromolecule metabolic process,0.67,141,0.46,140,0.6,172,0.36,126,0.81,152,0.76,140,0.38,135
GOTERM_BP_5,endosome transport,1,#N/A,0.6,10,0.39,14,1,#N/A,0.66,11,0.4,12,1,#N/A
GOTERM_BP_5,regulation of protein secretion,1,#N/A,0.46,11,0.76,11,1,#N/A,1,#N/A,0.54,11,1,#N/A
GOTERM_BP_5,negative regulation of macromolecule biosynthetic process,0.7,89,0.73,84,0.19,120,0.22,85,0.62,101,0.57,93,0.67,81
GOTERM_BP_5,cytokine-mediated signaling pathway,0.65,12,0.58,12,0.68,14,0.28,13,0.68,13,0.3,15,0.38,13
GOTERM_BP_5,interphase,0.42,20,0.44,19,0.3,25,0.16,20,0.52,21,0.82,16,0.66,16
GOTERM_BP_5,protein maturation,0.96,15,0.4,22,0.68,24,0.67,17,0.43,25,0.33,24,0.5,20
GOTERM_BP_5,T cell activation,0.81,19,0.74,19,0.74,24,0.8,16,0.92,19,0.67,21,0.65,19
GOTERM_BP_5,dephosphorylation,0.61,26,0.6,25,0.14,38,0.77,20,0.68,28,0.31,30,0.66,23
GOTERM_BP_5,striated muscle tissue development,0.99,12,0.65,19,0.9,20,0.72,16,0.56,23,0.93,16,0.93,14
GOTERM_BP_5,lymphocyte differentiation,0.58,18,0.6,17,0.43,23,0.61,15,0.67,19,0.39,20,0.4,18
GOTERM_BP_5,ear development,0.17,21,0.26,19,0.27,23,0.48,15,0.23,22,0.26,20,0.27,18
GOTERM_BP_5,positive regulation of organelle organization,0.85,12,0.46,15,0.81,15,0.28,15,0.8,14,0.56,15,0.5,14
GOTERM_BP_5,fatty acid biosynthetic process,0.7,13,0.19,17,0.54,17,0.32,14,0.3,18,0.26,17,0.43,14
GOTERM_BP_5,JNK cascade,1,#N/A,1,#N/A,0.54,13,0.46,10,0.8,10,0.56,11,1,#N/A
GOTERM_BP_5,energy reserve metabolic process,1,#N/A,1,#N/A,0.37,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,embryonic epithelial tube formation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,odontogenesis of dentine-containing tooth,1,#N/A,1,#N/A,0.25,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of cell division,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.21,10,1,#N/A
GOTERM_BP_5,muscle fiber development,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of fibroblast proliferation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,pancreas development,1,#N/A,1,#N/A,0.27,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cell morphogenesis,0.78,56,0.7,55,0.68,70,0.72,48,0.55,67,0.67,59,0.47,56
GOTERM_BP_5,regulation of lymphocyte activation,0.93,20,0.92,19,0.69,29,0.79,19,0.98,20,0.55,26,0.24,27
GOTERM_BP_5,B cell activation,0.4,15,0.45,14,0.36,18,0.52,12,0.45,16,0.54,14,0.62,12
GOTERM_BP_5,negative regulation of cellular biosynthetic process,0.67,92,0.74,86,0.22,122,0.26,86,0.69,102,0.59,95,0.72,82
