Metabolite Names in HMR database,Tasks failed in healthy cells,Subsystems of Antimetabolites in HMR database,Enzymes,Category,Explanations,References,
adenosine,69,Nucleotide metabolism,See HMR database,Used as AM,"Pentostatin mimics the nucleoside adenosine and thus inhibits the enzyme adenosine deaminase, interfering with the cell's ability to process DNA (PMID: 18721115); Triciribine (TCN), A Novel Tricyclic Adenosine Analog with Anticancer Activity (Nucleosides and Nucleotides 1987, 6, 95-109);Cladribine (trade names Litak and Movectro) is a drug used to treat hairy cell leukemia (HCL, leukemic reticuloendotheliosis) and multiple sclerosis. Its chemical name is 2-chlorodeoxyadenosine (2CDA) (PMID:19344416).","PMID: 18721115;Nucleosides and Nucleotides 1987, 6, 95-10;PMID:19344416",
adenylosuccinate,422,Nucleotide metabolism,See HMR database,Used as AM,The adenylosuccinate gene is up regulated in cancers (PMID:9812171). AMs developed for other substrates for the enzyme (PMID:3827951 and PMID:3759987) and for this metabolite (DOI:10.1002/recl.19780970711),PMID:9812171;PMID:3827951;PMID:3759987;DOI:10.1002/recl.19780970711,
aspartate,1038,Nucleotide metabolism,See HMR database,Used as AM,Identified as an Antimetabolite because of the purine synthesis and participate in the reaction HMR_4042. Used as an antimetabolite (PMID:3759987),PMID:3759987,
CMP,550,Nucleotide metabolism,See HMR database,Used as AM,Azathioprine is the main immunosuppressive cytotoxic substance. It is widely used in transplantations to control rejection reactions (PMID:12697731);Mercaptopurine(PMID:18506437);Thioguanine;Fludarabine,PMID:12697731;PMID:18506437,
CTP,651,Nucleotide metabolism,See HMR database,Used as AM,Azacitidine (5-azacytidine) is a chemical analogue of the cytosine nucleoside used in DNA and RNA (PMID:4142650),PMID:4142650,
dATP,58,Nucleotide metabolism,See HMR database,Used as AM,"F-dATP was able to completely substitute for dATP using DNA polymerase alpha and gamma, but not with DNA polymerase beta. Cl-dATP and Br-dATP substituted poorly for dATP using DNA polymerase alpha and beta (PMID:3050447).",PMID:3050447,
dCTP,105,Nucleotide metabolism,See HMR database,Used as AM,"Nucleoside analogs such as 1-beta-D-arabinofuranosyl cytidine (AraC) and 2',2'-difluoro deoxycytidine (dFdC) are important components of the anticancer chemotherapeutic arsenal and are among the most effective anticancer drugs currently available. Although both AraCTP and dFdCTP impede DNA replication through pausing of DNA polymerases, both nucleoside analogs are ultimately incorporated into replicated DNA and interfere in DNA-mediated processes (PMID:14565246). ",PMID:14565246,
dGTP,101,Nucleotide metabolism,See HMR database,Used as AM,"2,3-dideoxyguanosine 5-triphosphate, 6-thio-2-deoxyguanosine 5-triphosphate (T-dGTP), carbovir 5-triphosphate, and D-carbocyclic-2-deoxyguanosine 5-triphosphate (D-CdG-TP) inhibited telomerase activity by 50% when these analogs were present at only 2 to 9 times the dGTP concentration (PMID:10727514).",PMID:15354273'PMID:10727514,
dTTP,110,Nucleotide metabolism,See HMR database,Used as AM,"Mercaptopurine (PMID:15354273); Fluorodeoxyuridine triphosphate (FdUTP) is incorporated directly into DNA,  5-fluorodeoxyuridine monophosphate (FdUMP) inhibits thymidylate synthase, resulting in depletion of dTTP, accumulation of dUTP and its subsequent incorporation into DNA, and disruption of deoxynucleotide triphosphate (dNTP) ratios (PMID:21613406).",PMID:15354273;PMID:21613406,
GMP,250,Nucleotide metabolism,See HMR database,Used as AM,"Mercaptopurine (PMID:15354273); A number of metabolic processes involving purine biosynthesis and interconversions are affected by the nucleotide analog, TIMP. Like adenosine monophosphate (AMP), guanosine monophosphate (GMP), and inosine monophosphate (IMP), TIMP can inhibit the first step of de novo purine-ring biosynthesis (catalyzed by glutamine phosphoribosyl pyrophosphate amidotransferase). TIMP also blocks the formation of AMP and xanthinuric acid from inosinic acid (Pharmacology, edited by Michelle A. Clark, Richard A. Harvey, Richard Finkel, Jose A. Rey, Karen Whalen).","PMID:15354273;Pharmacology, edited by Michelle A. et al.",
IMP,586,Nucleotide metabolism,See HMR database,Used as AM,"Mercaptopurine (PMID:15354273); A number of metabolic processes involving purine biosynthesis and interconversions are affected by the nucleotide analog, TIMP. Like adenosine monophosphate (AMP), guanosine monophosphate (GMP), and inosine monophosphate (IMP), TIMP can inhibit the first step of de novo purine-ring biosynthesis (catalyzed by glutamine phosphoribosyl pyrophosphate amidotransferase). TIMP also blocks the formation of AMP and xanthinuric acid from inosinic acid (Pharmacology, edited by Michelle A. Clark, Richard A. Harvey, Richard Finkel, Jose A. Rey, Karen Whalen).","PMID:15354273;Pharmacology, edited by Michelle A. et al.",
PRPP,928,Nucleotide metabolism,See HMR database,Used as AM,Mercaptopurine (PMID:15354273); Thioguanine (PMID:6400065),PMID:15354273;PMID:6400065,
dephospho-CoA,99,Pantothenate and CoA biosynthesis,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","Reactant in dephospho-CoA kinase, the last step in CoA biosynthesis. No studies were found which targeted this step. However, many studies target the ligation of CoA to acetyl or FA groups. Product in phosphopantetheine adenylyl transferase, for which AMs have been developed an antibiotics (PMID:12750020)",PMID:12750020,
pantothenate,489,Pantothenate and CoA biosynthesis,See HMR database,AM developed for other conditions than cancer,"Reactant in pantohenate kinase, the first step of CoA biosynthesis. AM developed and resulted in severe metabolic effects in mice (PMID:17379144), but no test was done for cancer growth. Liver cells were particularly affected. Liver cancers have been shown to have a large increase in pantothenate concentration (PMID:2831928)",PMID:17379144;PMID:2831928,
5-aminolevulinate,489,Porphyrin metabolism,See HMR database,Used as AM,Chronic increased levels of delta aminolevulinic acid could lead to the generation of free radicals and subsequently to hepatic carcinogenesis (PMID:10898313). The increase of porphyrin synthesis in breast cancer was previously shown (PMID:2276414). Enzyme activity of the ENSG00000148218 were measured in breast cancer and it has shown that the acyivity increased in breast cancer patients conpared to healty subjects. It is already used as an antimetabolite (DB00855) for cancer and target ENSG00000148218. ,PMID:10898313;PMID:2276414,
hydroxymethylbilane,489,Porphyrin metabolism,See HMR database,Activity correlates with cancer progression,Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). Enzyme activity of the ENSG00000188690 were measured in breast cancer and it has shown that the acyivity increased in breast cancer patients conpared to healty subjects  (PMID:2276414). ,PMID:10898313;PMID:2276414,
protoporphyrin,489,Porphyrin metabolism,See HMR database,Activity correlates with cancer progression,Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). The expression of ABCB6 mitochondrial transporter that regulates porphyrin biosynthesis is upregulated in hepatocellular carcinoma (HCC). ABCB6 overexpression resulted in increased growth and proliferation of Huh7 cells. Small hairpin RNA (shRNA)-mediated knockdown of ABCB6 in hepatoma cell line Huh7 cells lead to decreased cellular proliferation and colony formation (PMID:21849266). ,PMID:10898313;PMID:21849266,
protoporphyrinogen IX,489,Porphyrin metabolism,See HMR database,Activity correlates with cancer progression,Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). The expression of ABCB6 mitochondrial transporter that regulates porphyrin biosynthesis is upregulated in hepatocellular carcinoma (HCC). ABCB6 overexpression resulted in increased growth and proliferation of Huh7 cells. Small hairpin RNA (shRNA)-mediated knockdown of ABCB6 in hepatoma cell line Huh7 cells lead to decreased cellular proliferation and colony formation (PMID:21849266). ,PMID:10898313;PMID:21849266,
uroporphyrinogen III,489,Porphyrin metabolism,See HMR database,Activity correlates with cancer progression,Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). Enzyme activity of the ENSG00000126088 were measured in breast cancer and it has shown that the acyivity increased in breast cancer patients conpared to healty subjects  (PMID:2276414). ,PMID:10898313;PMID:2276414,
coproporphyrinogen III,489,Porphyrin metabolism,ENSG00000080819,Activity correlates with cancer progression,"Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). Coproporphyrinogen III oxidase (HemN), an enzyme required for heme synthesis, is present in the inner mitochondrial membrane. ItÕs expression is increased in adriamycin-resistant breast cancer cells (PMID:16944951).",PMID:10898313;PMID:16944951,
heme,489,Porphyrin metabolism,ENSG00000004961,Activity correlates with cancer progression,"Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313).  Heme precursors were significantly increased in porphyric patients with hepatocellular carcinoma, and serum melatonin levels were low.",PMID:10898313,
porphobilinogen,489,Porphyrin metabolism,ENSG00000256269,Activity correlates with cancer progression,"Acute hepatic porphyrias are risk factors for hepatocellular carcinoma (PMID:10898313). Heme precursors were significantly increased in porphyric patients with hepatocellular carcinoma, and serum melatonin levels were low.",PMID:10898313,
FMN,489,Riboflavin metabolism,ENSG00000160688;ENSG00000163352,Activity correlates with cancer progression,"Statistical methods were applied to correlate human HCC gene expression data obtained from complementary DNA (cDNA) microarrays and corresponding DNA copy number variation data obtained from array-based comparative genomic hybridization. 76 genes including FLAD1 that are up-regulated were identifed and showed frequent DNA copy number gain, and 37 genes that are down-regulated were identified and showed frequent DNA copy loss in human HCCsamples (PMID:18214995).",PMID:18214995,
riboflavin,489,Riboflavin metabolism,See HMR database,Used as AM,"6,7-Dimethyl-9-hydroxyethyl-isoalloxazine (U-2113), an analog of riboflavin, was observed to have very weak carcinostatic action when used alone against the adenocarcinoma 755 grown in either sex of the C57BL mouse (PMID:13356279) Chemotherapeutic trials employing 8-azaguanine and testosterone in double combination, or with the addition of either deoxypyridoxine or U-2113 to give a triple combination, produced no greater carcinostatic effect than could be produced by 8-azaguanine alone under the particular conditions of these experiments (PMID:13356279).; Reactant in riboflavin kinase, the first step of FAD biosynthesis. Knockdown of this enzyme has been shown to induce apoptosis, and overexpression results in increased tolerance to anticancer drugs (PMID:21308351). The results are thought to be due to its link to the glutathione system for handling oxidative stress. It has also been shown that riboflavin promotes cancer growth (PMID:23311443). Riboflavin can also be used as a photosensitizer, where its photoptoducts have anticancer effect (PMID:23311443). Modified riboflavin has been used as a anticancer drug (http://www.google.com/patents/EP1531823A2?cl=en,WO2004043338A2). The mechanism makes use of the cancer's large need for riboflavin, whereby it takes up a modified version which becomes a radical upon activation (via radiation for example). Several AMs exist since it's also a target in antibiotics.",PMID:13356279;PMID:21308351;PMID:23311443,
3-dehydrosphinganine,83,Sphingolipid metabolism,ENSG00000119537,Activity correlates with cancer progression,FVT1 shows a high rate of transcription in some T cell malignancies and in phytohemagglutinin-stimulated lymphocytes. The proximity of FVT1 to BCL2 suggests that it may participate in the tumoral process (PMID:19019774).,PMID:19019774,
ethanolamine-phosphate,473,Sphingolipid metabolism,See HMR database,AM developed for other conditions than cancer,2-Aminoethylarsonic acid as an analogue of ethanolamine phosphate (PMID:2549956;PMID:2775191).,PMID:2549956;PMID:2775191,
sphinganine,182,Sphingolipid metabolism,See HMR database,AM developed for other conditions than cancer,"Fusarium moniliforme toxins (fumonisins) and Alternaria alternata lycopersici (AAL) toxins are members of a new class of sphinganine analog mycotoxins that occur widely in the food chain. These mycotoxins represent a serious threat to human and animal health, inducing both cell death and neoplastic events in mammals (PMID:8622958). ",PMID:8622958,
tyrosine,171,Tyrosine metabolism,See HMR database,Used as AM,A series of D- and L-tyrosine-chlorambucil analogs was synthesized as anticancer drugs for chemotherapy of breast cancer. The novel compounds were synthesized in good yields through efficient modifications of D- and L-tyrosine. The newly synthesized compounds were evaluated for their anticancer efficacy in different hormone-dependent and hormone-independent (ER+ and ER-) breast cancer cell lines (PMID:21051231).,PMID:21051231,
4-hydroxyphenylpyruvate,489,Terpenoid backbone biosynthesis,See HMR database,Activity correlates with cancer progression,Much more present in some cancers (PMID:21625518). Its concentration increased as the tumour progressed and decreased after radiotherapy (PMID:21402064),PMID:21625518;PMID:21402064,
4-hydroxyphenyllactate,489,Terpenoid backbone biosynthesis,See HMR database,Used as AM,"Methyl4-hydroxyphenyllactate is patented as an AM to be used as anticancer drug (http://worldwide.espacenet.com/publicationDetails/description?CC=EP&NR=0374184B1&KC=B1&FT=D&ND=1&date=19940112&DB=&locale=en_EP,WO8900849)",WO8900849,
4-coumarate,489,Terpenoid backbone biosynthesis,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","Docosyl 4-coumarate has been proposed as an anticancer drug, but not on the basis of its role in this pathway (PMID:20811721)",PMID:20811721,
4-coumaroyl-CoA,489,Terpenoid backbone biosynthesis,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","A Q1-2 has been suggested as an anti-cancer drug (PMID:16863505). The proposed mechanism is at least partly unrelated to its role as AM in this pathway, but the authors claim that the full anti cancer effect cannot be explained solely by their main hypothesis. ",PMID:16863505,
4-hydroxybenzoyl-CoA,489,Terpenoid backbone biosynthesis,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","Docosyl 4-coumarate has been proposed as an anticancer drug, but not on the basis of its role in this pathway (PMID:20811721)",PMID:20811721,
4-hydroxybenzoate,489,Terpenoid backbone biosynthesis,See HMR database,AM developed for other conditions than cancer,"Varying doses of 4-nitrobenzoate (4-NB), an analog of 4-hydroxybenzoate (4-HB) and inhibitor of 4-para-hydroxybenzoate:polyprenyl transferase (COQ2) to induce a range of CoQ(10) deficiencies (PMID:22359546); The esterized form of this is used as a antibacterial/antifungal under the name of parabens. Many studies have therefore investigated its toxicity in humans. The mechanism is not well elucidated, but one study conclude that ""the toxicity is associated with ATP depletion via impairment of mitochondrial function related to membrane potential and/or oxidative phosphorylation"" (PMID:9714309). They also prove that it is not the non-esterified form that is toxic. We speculate that the toxicity could therefore be due to acting as an AM to 4-hydroxybenzoate. This was done on rat hepatocytes. Ethyl 4-hydroxybenzoate has been under clinical trial as an anti-cancer drug, but that was due to its role as a substrate for tyrosinase, and not for this pathway (PMID:17847068).",PMID:22359546;PMID:9714309;PMID:17847068,
all-trans-decaprenyl-diphosphate,489,Terpenoid backbone biosynthesis,See HMR database,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
3-decaprenyl-4-hydroxybenzoate,489,Terpenoid backbone biosynthesis,See HMR database,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
"3,4-dihydroxy-5-all-trans-decaprenylbenzoate",489,Terpenoid backbone biosynthesis,See HMR database,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate,489,Terpenoid backbone biosynthesis,See HMR database,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
2-methoxy-6-(all-trans-decaprenyl)phenol,489,Terpenoid backbone biosynthesis,ENSG00000119723,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
"2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol",489,Terpenoid backbone biosynthesis,ENSG00000110871,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
"6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol",489,Terpenoid backbone biosynthesis,ENSG00000167186,"Same enzymes targeted, but with other AM","While coenzyme Q10 may show indirect anticancer activity through its effect(s) on the immune system, there is evidence to suggest that analogs of this compound can suppress cancer growth directly. Analogs of coenzyme Q10 have been shown to inhibit the proliferation of cancer cells in vitro and the growth of cancer cells transplanted into rats and mice (PMID:4218125;PMID:653103). In view of these findings, it has been proposed that analogs of coenzyme Q10 may function as antimetabolites to disrupt normal biochemical reactions that are required for cell growth and/or survival and, thus, that they may be useful for short periods of time as chemotherapeutic agents (PMID:4218125;PMID:653103)",PMID:4218125;PMID:653103,
3-demethylubiquinol-10,489,Terpenoid backbone biosynthesis,ENSG00000132423,"Same metabolite/enzyme targeted, but at least partly for other reasons","A Q1-2 has been suggested as an anti-cancer drug (PMID:16863505). The proposed mechanism is at least partly unrelated to its role as AM in this pathway, but the authors claim that the full anti cancer effect cannot be explained solely by their main hypothesis. ",PMID:16863505,
aquacob(III)alamin,489,Vitamin B12 metabolism,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","These steps are carried out by the same enzyme, cob(I)yrinic acid a,c-diamide adenosyltransferase. It has been shown that cancers have an increased need for cobalamin (PMID:20677021), and this has been used to ligate it to other cytostatica and let the cancer cells take it up (PMID:15609930 or PMID:18060564). ",PMID:20677021;PMID:15609930;PMID:18060564,
cob(I)alamin,489,Vitamin B12 metabolism,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","These steps are carried out by the same enzyme, cob(I)yrinic acid a,c-diamide adenosyltransferase. It has been shown that cancers have an increased need for cobalamin (PMID:20677021), and this has been used to ligate it to other cytostatica and let the cancer cells take it up (PMID:15609930 or PMID:18060564). ",PMID:20677021;PMID:15609930;PMID:18060564,
cob(II)alamin,489,Vitamin B12 metabolism,See HMR database,"Same metabolite/enzyme targeted, but at least partly for other reasons","These steps are carried out by the same enzyme, cob(I)yrinic acid a,c-diamide adenosyltransferase. It has been shown that cancers have an increased need for cobalamin (PMID:20677021), and this has been used to ligate it to other cytostatica and let the cancer cells take it up (PMID:15609930 or PMID:18060564). ",PMID:20677021;PMID:15609930;PMID:18060564,
